name,train_volumes,source
right lateral occipital,10,table10_train
right lateral orbitofrontal,10,table10_train
right lateral ventricle,3654,table10_train
right lcl ligament,78,table10_train
right lens,3505,table10_train+table7_test
right lenticolstriate arteries,1,table10_train
right lentiform nucleus,158,table10_train
right lingual gyrus,10,table10_train
right longissimus thoracis,97,table10_train
right lung,4404,table10_train+table7_test
right lung lower lobe,3454,table10_train
right lung middle lobe,3454,table10_train
right lung upper lobe,3454,table10_train
right m1,1,table10_train
right m1 of middle cerebral artery,50,table10_train
right m2 of middle cerebral artery,50,table10_train
right m3 of middle cerebral artery,50,table10_train
right mandible,170,table10_train
right mandibular incisive canal,532,table10_train
right mastoid process,120,table10_train
right maxillary artery,25,table10_train
right maxillary sinus,532,table10_train
right mcl ligament,78,table10_train
right medial cuneiform bone,78,table10_train
right medial frontobasal artery,1,table10_train
right medial occipital artery,1,table10_train
right medial orbitofrontal,10,table10_train
right metacarpal,1597,table10_train
right metatarsal,1597,table10_train
right middle cerebral artery,250,table10_train
right middle ear,170,table10_train
right middle meningeal artery,26,table10_train
right middle temporal,10,table10_train
right middle temporal artery branch,1,table10_train
right navicular bone,78,table10_train
right nucleus accumbens,10,table10_train
right obturator artery,1,table10_train
right obturator externus,1,table10_train
right obturator externus muscle,78,table10_train
right obturator internus,1,table10_train
right obturator internus muscle,78,table10_train
right obturator veins,1,table10_train
right ophthalmic artery,50,table10_train
right opthalmic artery,1,table10_train
right optic nerve,3636,table10_train+table7_test
right p1,1,table10_train
right p1 and p2 of posterior cerebral artery,50,table10_train
right p2,1,table10_train
right p3 and p4 of posterior cerebral artery,50,table10_train
right pallidum,3654,table10_train
right paracentral lobule,10,table10_train
right parahippocampal gyrus,10,table10_train
right paramedian artery branch,1,table10_train
right parietal branches of the middle cerebral artery,1,table10_train
right parietal cortical branches of the insular part of the middle cerebral artery,1,table10_train
right parietooccipital branches,1,table10_train
right parotid gland,3636,table10_train+table7_test
right pars opercularis,10,table10_train
right pars orbitalis,10,table10_train
right pars triangularis,10,table10_train
right patella,1597,table10_train
right patella bone,78,table10_train
right patella cartilage,78,table10_train
right pcl ligament,78,table10_train
right pectineus,1,table10_train
right pectineus muscle,78,table10_train
right pelvis acetabulum cartilage,78,table10_train
right pelvis bone,78,table10_train
right pericalcarine,10,table10_train
right peroneus longus muscle,78,table10_train
right phalanges bone,78,table10_train
right piriformis,1,table10_train
right piriformis muscle,78,table10_train
right plantaris muscle,78,table10_train
right polar frontal artery,1,table10_train
right polar temporal artery,1,table10_train
right popliteus muscle,78,table10_train
right portal vein,1,table10_train
right postcentral gyrus,10,table10_train
right posterior cerebral artery,250,table10_train
right posterior cingulate,10,table10_train
right posterior communicating artery,301,table10_train
right posterior eyeball,84,table10_train
right posterior inferior cerebellar artery,50,table10_train
right posterior insular part of the middle cerebral artery,1,table10_train
right posterior parietal artery,1,table10_train
right posterior temporal artery branch of the mca,1,table10_train
right posterior temporal branches of the pca,1,table10_train
